Time,Lat,Lon,Heading,TargetDist,TargetBear,MotorL,MotorR,Fix
1765531407.73,0,0,301.12,0.00,0.00,0.00,0.00,0
1765531407.94,0,0,302.12,0.00,0.00,0.00,0.00,0
1765531408.15,0,0,302.19,0.00,0.00,0.00,0.00,0
1765531408.36,0,0,302.25,0.00,0.00,0.00,0.00,0
1765531408.57,0,0,302.31,0.00,0.00,0.00,0.00,0
1765531408.78,0,0,301.56,0.00,0.00,0.00,0.00,0
1765531408.99,0,0,300.38,0.00,0.00,0.00,0.00,0
1765531409.20,0,0,300.38,0.00,0.00,0.00,0.00,0
1765531409.41,0,0,300.06,0.00,0.00,0.00,0.00,0
1765531409.62,0,0,299.94,0.00,0.00,0.00,0.00,0
1765531409.83,0,0,299.19,0.00,0.00,0.00,0.00,0
1765531410.04,0,0,299.69,0.00,0.00,0.00,0.00,0
1765531410.25,0,0,300.81,0.00,0.00,0.00,0.00,0
1765531410.46,0,0,301.06,0.00,0.00,0.00,0.00,0
1765531410.66,0,0,301.00,0.00,0.00,0.00,0.00,0
1765531410.87,0,0,301.12,0.00,0.00,0.00,0.00,0
1765531411.09,0,0,301.00,0.00,0.00,0.00,0.00,0
1765531411.29,0,0,301.19,0.00,0.00,0.00,0.00,0
1765531411.50,0,0,301.75,0.00,0.00,0.00,0.00,0
1765531411.71,0,0,301.50,0.00,0.00,0.00,0.00,0
1765531411.92,0,0,300.94,0.00,0.00,0.00,0.00,0
1765531412.13,0,0,300.56,0.00,0.00,0.00,0.00,0
1765531412.33,0,0,300.56,0.00,0.00,0.00,0.00,0
1765531412.54,0,0,300.44,0.00,0.00,0.00,0.00,0
1765531412.75,0,0,300.50,0.00,0.00,0.00,0.00,0
1765531412.96,0,0,299.12,0.00,0.00,0.00,0.00,0
1765531413.17,0,0,298.88,0.00,0.00,0.00,0.00,0
1765531413.38,0,0,298.19,0.00,0.00,0.00,0.00,0
1765531413.58,0,0,298.12,0.00,0.00,0.00,0.00,0
1765531413.79,0,0,298.12,0.00,0.00,0.00,0.00,0
1765531414.00,0,0,298.12,0.00,0.00,0.00,0.00,0
1765531414.21,0,0,298.12,0.00,0.00,0.00,0.00,0
1765531414.42,0,0,298.12,0.00,0.00,0.00,0.00,0
1765531414.63,0,0,298.12,0.00,0.00,0.00,0.00,0
1765531414.85,0,0,298.12,0.00,0.00,0.00,0.00,0
1765531415.06,0,0,298.19,0.00,0.00,0.00,0.00,0
1765531415.27,0,0,298.19,0.00,0.00,0.00,0.00,0
1765531415.48,0,0,298.31,0.00,0.00,0.00,0.00,0
1765531415.69,0,0,298.50,0.00,0.00,0.00,0.00,0
1765531415.89,0,0,297.75,0.00,0.00,0.00,0.00,0
1765531416.10,0,0,297.38,0.00,0.00,0.00,0.00,0
1765531416.31,0,0,297.38,0.00,0.00,0.00,0.00,0
